|Count
Kamphuysen, Jan|13
Engelberts, Engelbertus Matthias|13
De La Rue, J.F.|13
Sharaku, Toshusai|13
Howen, Otto Baron|13
Giulio Romano|13
Hals, Frans|13
Meester van Alkmaar|13
Roelofs, Willem (I)|13
Pilsen, Frans|13
Fokke, Jan|13
Jansz., Egbert|13
Verrijk, Dirk|13
Boonen, Arnold|13
Alix, Pierre Michel|13
Monogrammist FG|13
Kerkhoff, Johan van|13
Hill & Adamson|13
Laquy, Willem Joseph|12
Leeuw, Willem van der|12
Vianen, Adam van (I)|12
Baen, Jan de|12
Beerstraten, Jan Abrahamsz.|12
Sweelink, Gerrit Pietersz.|12
Bouchet, Louis François du|12
Stellingwerff, Jacobus|12
Pauli, Andries|12
Glavimans, Pieter|12
Shigenobu (I), Yanagawa|12
Wijnants, Jan|12
Jagen, Jan van|12
With, Pieter de|12
Claesz., Allaert|12
Suavius, Lambertus|12
Halbeeck, Jan van|12
Helst, Bartholomeus van der|12
Fokke Willemsz., Arend|12
Preissler, Johann Daniel|12
Diepenbeeck, Abraham van|12
Lautensack, Hans Sebald|12
Vaillant, Bernard|12
Le Nôtre, André|12
Liefrinck, Hans (II)|12
Maris, Jacob|12
Boskam, Jan|12
Barthautz, W.|12
Bonket, Jan|12
Soutman, Pieter Claesz.|12
Poccetti, Bernardino|12
Forssell, Christian|12
Frankenthal|12
Moreelse, Paulus|12
Matthieu, Cornelis|12
Koninck, Salomon|12
Brouwer, Jan|12
Stillfried und Ratenitz, Baron Raimund von|12
Ruse van Rysensteen, Hendrick baron van|12
Brueghel, Pieter (I)|12
Monogrammist IG|12
Hoogstraten, Dirk van|12
Hoppenbrouwers, Johannes Franciscus|12
Elgersma, Michiel|12
Reni, Guido|12
Schmidt, Izaak|12
Marville, Charles|12
Begbie, Patrick|12
Bree, Mattheus Ignatius van|12
Holsteyn, Cornelis|12
Greenwood, John|12
Matham, Jan|12
Jode, Arnold de|12
Mattioli, Lodovico|12
Camper, Petrus|12
Lokhorst, Jan van|12
Edelinck, Jan|12
Smies, Jacob|12
Piranesi, Giovanni Battista|12
Broen, Gerrit de (Jr.)|12
Agostino Veneziano|11
Lastman, Nicolaes|11
Cruyl, Lievin|11
Sugimura Jihei|11
Mollinger, Alexander|11
Dihl et Guerhard|11
Santvoort, Abraham Dircksz|11
Jacquard, Antoine|11
Crabbe, Frans|11
Collaert, Jan Baptiste|11
Bailly, David|11
Devel, Pieter|11
Silber, Jonas|11
Bouckhorst, Jan Philipsz. van|11
Coppens, Augustin|11
Tromp, August Elisa|11
Mazzi, Vincenzo|11
Harrewijn, François|11
Haelwech, Lucas van|11
Neer, Aert van der|11
Mieris, Frans van (II)|11
Breitner, George Hendrik|11
Louw, Pieter|11
Baes, Martin|11
Dijk, Philip van|11
Carpi, Girolamo da|11
Haag, Tethart Philip Christian|11
Mignot, Daniel|11
Romeyn, Willem|11
Quinet, Achille|11
Fialetti, Odoardo|11
Later, Jacob de|11
Bossche, Elias van den|11
Claesz. van Leyden, Aertgen|11
Overbeek, Bonaventura van|11
Settan, Hasegawa|11
Tintoretto, Jacopo|11
Schäufelein, Hans|11
Barata, Laurens|11
Thienen, Renier van|11
Steiger, C.|11
Beresteyn, Claes van|11
Londerseel, Assuerus van|11
Vermeyen, Jan Cornelisz.|11
Merrem, D.|11
Quellinus, Erasmus (II)|11
Gelder, Aert de|11
Leclerc, Sébastien (I)|11
Keun, Hendrik|11
Gelle, Johann|11
Carracci, Agostino|11
Richebourg|11
Weenix, Jan Baptist|11
Birago, Giampietrino|11
Sadamasu II|11
Hooch, Charles Cornelisz. de|11
Schutze van Houten, Christiaan Godfried|11
Beccafumi, Domenico|11
Körnlein, Johannes|11
Condet, Gerardus|10
Regters, Tibout|10
Beek, Antonie en Pieter van der|10
Groenendijk, Jacob|10
Blankenburg|10
Bedford, Francis|10
Brekelenkam, Quiringh Gerritsz. van|10
Sadamasu|10
Disdéri, André-Adolphe-Eugène|10
Aartman, Nicolaes|10
De Porceleijne Fles|10
Beuf, Jean|10
Brugghen, Guillaume Anne van der|10
Verwer, Abraham de|10
Liefrinck, Cornelis (II)|10
Eillarts, Johannes|10
Koson, Ohara|10
Royer, Louis|10
Elsheimer, Adam|10
Lesire, Paulus|10
Coster, Cornelis|10
Wor, Dirk|10
Gossaert, Jan|10
Maaten, Jacob Jan van der|10
Gauw, Gerrit|10
Buncho, Ippitsusai|10
Frese, Albertus (de Jonge)|10
Dielen, Adriaan Jacob Willem van|10
Wijngaerde, Frans van den|10
Ledeboer, Isaac|10
Somerwil, Pieter van (I)|10
Hondius, Jodocus (I)|10
Gheyn, Jacob de (I)|10
De Porceleijne Claeuw|10
Sichem, Christoffel van (I)|10
Lee, Jan van|10
Cornelisz. van Haarlem, Cornelis|10
Bout, Pieter|10
Bloemen, Pieter van|10
Bosboom, Dirck|10
Tavenraat, Johannes|10
Stokvisch, Hendrik|10
Balten, Pieter|10
Galestruzzi, Giovanni Battista|10
Andreani, Andrea|10
Galle, Joannes|10
Molenaar, Frans|10
Strant, Frederik van (II)|10
Hellyer, Thomas|10
Oosterhoudt, Dirk van|10
Boissens, Cornelis Dircksz.|10
Bosboom, Johannes|10
Veelwaard, Daniël (I)|10
Haastert, Isaac van|10
Sedgfield, William Russell|10
Strant, Frederik van (I)|10
Francq van Berkhey, Johannes le|10
Vrijdag, Daniël|10
Hokuba, Teisai|10
Man, Cornelis de|10
Menton, Frans|10
Jonge, Jan de|10
Allard, Hugo|10
Denon, Dominique Vivant (baron)|10
Salviati, Francesco|10
William Armstrong & Co.|10
Verschuring, Hendrik|10
Rutgers, Abraham|10
Borduur, Jan|10
Raphael|10
Blijhooft, Zacharias|10
Jonker, Cornelis de|10
Hogenberg, Abraham|10
Hove Bz, Huib van|10
Stuerhelt, François|10
Robetta, Christoforo di Michele|10
Kruseman, Jan Adam|10
Morikuni, Tachibana|9
Humbert de Superville, David Pièrre Giottino|9
Dupérac, Etienne|9
Goltzius, Jacob (II)|9
Molenaer, Jan Miense|9
Bolten, Roeland van|9
Huber, Wolfgang|9
Engelbrecht, Christian|9
Withoos, Pieter|9
Ruppe, Christiaan Friedrich|9
Schoenmakers, Johannes|9
Kleinschmidt, Johann Jakob|9
Nicolle, Victor Jean|9
Tiepolo, Lorenzo Baldissera|9
Ferwerda, Abraham|9
Millaert, Adriaen|9
London Stereoscopic Company, The|9
Nieuwenhuyzen, Adrianus Wilhelmus|9
Mijtens, Johannes|9
Decker, Frans|9
De Porceleijne Lampetkan|9
Rauscher, Friedrich|9
Post, Frans Jansz.|9
Hellemans, Cornelis A.|9
Verstraeten, Willem Jansz.|9
Berg, Cornelis van den|9
Poilly, François de (I)|9
Busei, Kita|9
Grau, Florent|9
Aubry, Charles|9
Boursse, Esaias|9
Plas, Pieter van der (II)|9
Shigenobu (II), Yanagawa|9
Delen, Dirck van|9
Arends, Jan|9
Cate, Hendrik Gerrit ten|9
Nagtegaal, Aernout|9
Langendijk Dzn, Jan Anthonie|9
Geldorp, Gortzius|9
Rokesz. van Dagen, Hendrik|9
Hilten, Hendrik van|9
Molijn, Petrus Marius|9
Vouet, Simon|9
Hardenbergh, Cornelis van|9
Houtman, Marten|9
Reuwich, Erhard|9
Jongh, Joannes de|9
Kellen, Johannes van der|9
Robertson, James|9
Voort, Cornelis van der|9
Wall Perné, Gust van de|9
Ingen, Henry van|9
Fabritius, Carel|9
Halver, Johann von|9
Schillemans, François|9
Hofsnider, Hendrik|9
Langenheim, Frederick|9
Diamaer, Hendrik Frans|9
Stopendaal, Daniël|9
Overlaet, Antoon|9
Jouvin, Léon Pierre|9
Sibelius, Gerard|9
Veronese, Paolo|9
Schmetterling, Elisabeth Barbara|9
Moucheron, Frederik de|9
Mauve, Anton|9
Meyer, Dietrich|9
Pijnacker, Adam|9
Hoet, Gerard (I)|9
Ekels, Jan (II)|9
Mesdach, Salomon|9
Backer, Jacob Adriaensz.|9
Krüger, Dietrich|9
Sande Bakhuyzen, Hendrikus van de|8
Bargas, A.F.|8
Debrie, Gabriel François Louis|8
Bolten, Arent van|8
Rousseel, Nicasius|8
Klinkhamer, Hendrik Abraham|8
Quewellerie, Guillaume de la|8
Eynden, Roeland van|8
Hoy, Nikolaas van|8
Spierinx, François|8
Mijn, Frans van der|8
Causé, Lamberecht|8
Vorsterman, Lucas (I)|8
Meester E.S.|8
Romans, Pieter (Jr.)|8
Macpherson, Robert|8
Plantijn, Christoffel|8
Schut, Cornelis (I)|8
Berg, Hendrik|8
Kellen, David van der (III)|8
Wit, Frederik de|8
Yoshitoshi, Tsukioka|8
Suyderhoef, Jonas|8
Vois, Ary de|8
Goes, Jan Augustin van der|8
Nagel, Pieter|8
Utamaro (II), Baigado|8
Huybrechts, Adriaen (I)|8
Pleginck, Martin|8
Haensbergen, Jan van|8
Collet, Paul (I)|8
Andriessen, Anthony|8
Pittoni, Giovanni Battista (il Vecchio)|8
Kooi, Willem Bartel van der|8
Bylaer, Gerard van|8
Henning, Christian|8
Tempel, Abraham van den|8
Bosch, Hendrik van den|8
Cochin, Charles Nicolas (II)|8
Bertren, P.J.|8
Comans, Michiel (II)|8
Demarteau, Gilles Antoine|8
Loo, Jacob van|8
Poussin, Nicolas|8
Gandolfi, Gaetano|8
Lenfant, Jean|8
Verspronck, Johannes Cornelisz.|8
Dubbels, Hendrick Jacobsz.|8
Sorgh, Hendrick Martensz.|8
Monogrammist S (16e eeuw)|8
Mola, Pier Francesco|8
Vanni, Francesco (II)|8
Vinne, Jan Vincentsz. van der|8
Aertsen, Pieter|8
Milheuser, Julius|8
Coelemans, Jacob|8
Corot, Camille|8
Groos, Gerard de|8
Famars Testas, Willem de|8
Parrocel, Charles|8
Monogrammist DB (etser 18de eeuw)|8
Wesel, Adriaen van|8
Limborch, Hendrik van|8
Suntach, Antonio|8
Pynas, Jan Symonsz.|8
Hauer, Johann Thomas|8
Shigemasa, Kitao|8
Metsu, Gabriël|8
Terris, Adolphe|8
Muller, Wouter|8
Hokuei, Shunkosai|8
Straaten, Hendrik van der|8
Righetti, Francesco|8
Maes, Godfried|8
Cool, Thomas Simon|8
Ligne, Charles Joseph Emmanuel de|8
Ketel, Cornelis|8
Schreuder, Bernhard|8
Jansen, Wessel|8
Waldorp, Jan Gerard|8
Backer, Hilmar Johannes|8
Grijpmoed, Geerlig|8
Palamedesz., Anthonie|8
Hogenberg, Remigius|8
Horstok, Johannes Petrus van|8
Mel, Jan de|8
Wilson, George Washington|8
Bosch, Jheronimus|8
Davent, Léon|8
Sadakage, Utagawa|8
Tersteeg, Jan|8
Admiral, Jacob l' (II)|8
Seppings, Sir Robert|8
Biennais, Martin Guillaume|8
Montagna, Benedetto|8
Royal Laboratory|8
Craeyvanger, Gijsbertus|8
Nieuwenhuyzen, Jan|8
Bailly, Jacques (I)|8
Valkenburg, Dirk|8
Hoefnagel, Joris|8
Muys, Nicolaes|8
Vrancx, Sebastiaan|7
Santvoort, Dirck Dircksz. van|7
Slingelandt, Pieter Cornelisz. van|7
Worcester|7
Dijk, Willem Cornelis van|7
Toorenburgh, Gerrit|7
Francia, Giacomo|7
Lois, Jacob|7
Toussaint, Dolf|7
Marinkelle, Joseph|7
Looff, Johannes|7
Bonnejonne, Eloy|7
Tideman, Bruno Johannes|7
Domenichino|7
Walraven, Isaac|7
Blieck, Daniël de|7
Penningen, Daniël met de|7
Kettler, Engelbert|7
Busserus, Hendrik|7
Nicoletto da Modena|7
Mengs, Anton Raphaël|7
Fallot|7
Frytom, Frederik van|7
Levaillant, François|7
Meester van Koudewater|7
Cassiers, Jan|7
Jacobs, Jan|7
Fruytiers, Lodewijk Joseph|7
Pickenoy, Nicolaes Eliasz.|7
Hertel, Georg Leopold|7
Buysen, Andries van (Jr.)|7
Silvestre, Israël|7
Perelle, Nicolas|7
Natoire, Charles Joseph|7
Diziani, Gasparo|7
Marrel, Jacob|7
Jéhotte, Léonard|7
Keyser, Thomas de|7
Hokushû, Shunkôsai|7
Meijer, Christiaan|7
Duysend, Cornelis Claesz.|7
Browne, Hablot Knight|7
Mieris, Frans van (I)|7
Moderno|7
Cornelisz. genaamd Kunst, Pieter|7
Keller, Johann Heinrich (II)|7
Eishô, Chokosai|7
Ovens, Jürgen|7
Witte, Emanuel de|7
Lauwers, Conrad|7
Lubienitzki, Christoffel|7
Potmans, Laurens|7
Schepp, Johann Heinrich|7
Tidemann, Philip|7
Bruining, Tieleman Cato|7
Sénégat, A.|7
Fouceel, Jan|7
Plas, David van der|7
Nuijen, Wijnand|7
Fenaem, Gerrit Gerritsz van|7
Hopfer, Hieronymus|7
Reinhart, Johann Christian|7
Droochsloot, Joost Cornelisz.|7
Troostwijk, Wouter Johannes van|7
Hart, Abraham van der|7
Geffen, Johannes Adrianus van|7
Giraud, Alphonse Pierre|7
Louys, Jacob (1620-ca.1673)|7
Sichem, Christoffel van (II)|7
Harrewijn, J.G. (II)|7
Testa, Pietro|7
Schley, Philippus van der|7
Eggers, Bartholomeus|7
Everdingen, Caesar Boëtius van|7
Giambologna|7
Wittel, Caspar van|7
Müntz, Johann Heinrich|7
Meester FVB|7
Hurtu, Jacques|7
Monogrammist FWH|7
Schooten, Franciscus van|7
Beard, Richard|7
Hove, Frederick Hendrick van den|7
Gonord, François|7
Oudry, Jean Baptiste|7
Lasonder, Gerrit (II)|7
Campagnola, Domenico|7
Clerck, Nicolaes de|7
Spranger, Bartholomeus|7
Buys, Cornelis|7
Shuntei, Katsukawa|7
Meijer, Daniel|7
Chantilly|7
Schadow, Gottfried|7
Lauwers, Jacobus Johannes|7
Bierweiler, Frederik Christiaan|7
Pietersz., Pieter (I)|7
Peregrino da Cesena|7
Walker, Charles|7
Ollivier, Michel Barthélémy|7
Bailliu, Barend de|7
Backer, Jacob de|7
De 3 Klokjes|7
Laird Brothers|7
Ponheimer, Kilian (I)|7
Kuniyasu, Utagawa|7
Groot, Stephanus de|7
Baur, Nicolaas|7
Hari, Johannes (I)|7
Ripanda, Jacopo|7
Faber, John (I)|7
Sibersma, Gerrit|7
Rijsselbergh, Ary|7
Meulen, Adam Frans van der|7
Kikkert, Pieter|7
Parizeau, Philippe Louis|7
Vinckboons, Johannes|7
Wegner, Louis|7
Bos, Caspar van den|7
Dequevauviller, François Jacques|7
Franchoys, Lucas (II)|7
Graat, Barend|7
Appelmans, Gonsales|7
Bloemen, Jan Frans van|7
Saur, Corbinian|6
Kleyne, David|6
Geffels, Frans|6
Shun'ei, Katsukawa|6
Haegh, Wilhelmus ten|6
Deutsch, Niklaus Manuel|6
Flines, Hendrik de|6
Dubois, Chrétien|6
Hoeye, François van den|6
Apostool, Cornelis|6
Helt Stockade, Nicolaes van|6
Vinckenbrinck, Albert Jansz.|6
Coopse, Pieter|6
Marstaller, G.J.|6
Knip, Josephus Augustus|6
Pape, Jan de|6
Magnasco, Alessandro|6
Goll van Frankenstein, Johann (I)|6
Veen, Rochus van|6
Delacroix, Eugène|6
Monogrammist HL (16e eeuw)|6
Rijsbraeck, Pieter|6
Moro, Antonio|6
Schoel, Hendrick van|6
Edelinck, Nicolas Etienne|6
Boshart, Hendrik|6
Bos, Johannes Ludovicus van den|6
Nickelen, Jan van|6
Willaerts, Adam|6
Hunin, Joseph|6
Valckert, Werner van den|6
Boutemie, Denis|6
Mijling, J.|6
Cochet, Joseph Antoine|6
Grill, Johannes|6
Mocetto, Girolamo|6
Krone, Hermann|6
Leyniers, Everaert|6
Richebourg, Pierre Ambroise|6
Velde, Jacob van de (graveur)|6
Löcherer, Alois|6
Passarotti, Bartolommeo|6
Klotz, Valentijn|6
Meijer, Louis|6
Monogrammist MEG|6
Calvaert, Denys|6
Sacchi, Andrea|6
Bunpo, Kawamura|6
Bissel, Andreas|6
Senus, Willem van|6
Grill, Anthonie|6
Weissenbruch, Johan Hendrik|6
Bodenehr, Moritz|6
Robbia, Luca della|6
Guardi, Francesco|6
Meester W met de Sleutel|6
Vroom, Hendrik Cornelisz.|6
Lotter, Christian Anthony|6
Mulder, Jan (1786-1817)|6
Novelli, Pietro Antonio III|6
Dietzsch, Barbara Regina|6
Meester van 1515|6
Philippe, David|6
Mignon, Abraham|6
Loo, Pieter van|6
niet van toepassing|6
Lutma, Abraham|6
Haecht, Willem van (II)|6
Parrocel, Joseph|6
Delden, Jan van|6
Rhijne, Wilhelmus ten|6
Maaskamp, Evert|6
Mülhüssen, Julius|6
Muybridge, Eadweard|6
Duvet, Jean|6
Kokan, Shiba|6
Monogrammist AI (16e eeuw)|6
Le Gray, Gustave|6
Fabritius, Barent|6
Smith, John|6
Colenbrander, Theo|6
Cracht, Pieter de|6
Engelsz., Cornelis|6
Barbiers, Bartholomeus|6
Cesari, Giuseppe|6
Robert, Nicolas|6
Baugin, J.|6
Versteegen, Jacobus|6
Joosten, Engelbart|6
Sôri, Hishikawa|6
Titiaan|6
Wart, Derk Anthony van de|6
Masayoshi, Kitao|6
Galle, Cornelis|6
Verschoot, Bernard|6
Deutmann, Franz Wilhelm|6
Seymour-Haden, Francis (Sir)|6
Nilson, Johann Esaias|6
Naning, Jan|6
Laegh, Willem van der|6
Heer, Gerrit Adriaensz. de|6
Knütgen, Anno|6
Pynas, Jacob Symonsz.|6
Moroshige, Hishikawa|6
Franceschini, Baldassare|6
Badile, Giovanni (I)|6
Houckgeest, Gerard|6
Muziano, Girolamo|6
Maarseveen, Hendrik van|6
Koekkoek, Barend Cornelis|6
Cundall, Downes & Co.|6
Gijselaar, Nicolaas Cornelis de|6
Horstink, Warner|6
Voorhout, Johannes (I)|6
Morisson, Friedrich Jacob|6
Monogrammist P+P|6
Duyster, Willem Cornelisz.|6
Hooch, Pieter de|6
Mander, Karel van|6
Garofalo, Benvenuto Tisi da|6
Bang, Theodor|6
Ademollo, Luigi|6
Aelmis, Jan|6
Rosa, Salvator|6
Horrix, Gebroeders|6
Allen, Frans|6
May, William|6
Gourdin, I.|6
Het Moriaenshoofd|6
Plattemontagne, Nicolas de|6
Beyeren, Abraham Hendricksz. van|6
Abeele, Pieter van|6
Genoels, Abraham (II)|6
Moda, Anna Cornelia|6
Roussel, Jérôme|6
Wieringen, Cornelis Claesz. van|6
Collaert, H.|6
Pitau, Nicolas (II)|6
Toyohiro, Utagawa|6
Lange, Johannes Fredericus|6
Jelissen, Meynert|6
Briot, Jacques|6
Tripe, Linnaeus|6
Louroux, Jean|6
Valckenborch, Frederik van|6
Dijck, Daniël van den|6
Salomon, Bernard|6
Merian, Matthäus (I)|6
Warenberg, Christiaan|6
Blum, Johann|6
Barbiers, Pieter (I)|6
Coets, Herman|6
Woeiriot, Pierre (II)|6
Enthoven & Co.|6
Monogrammist LIW|6
Kasteele, Elisabeth Geertruida van de|6
Rijswijck, Dirk van|6
Cordier Daubigny, Philippe|6
Goblé, Steven|6
Flock, Jan|6
Voet 443|6
Monogrammist CB met boom|6
Rossum, Gerard van (1698/99-1772)|6
Does, Simon van der|6
Isaacsz., Pieter|6
Woollett, William|6
Cotelle, Jean (I)|6
Léveillé, Jean-Augustin|6
Girodet-Trioson, Anne Louis|6
Kruyff, Cornelis de|6
Sustris, Lambert|6
Smit & Zoon, Johannes|6
De Jonghe, Jan Baptiste|6
Baburen, Dirck van|6
Pillement, Jean Baptiste|6
Does, Jacob van der (I)|6
Sadamasu, Gochôtei|5
Nasmyth, James|5
Bömcke, Cornelis Hendrik|5
Beatrizet, Nicolas|5
Bartolozzi, Francesco|5
Moillon, Nicolas|5
Mostaert, Jan Jansz|5
Morazzone, Pier Francesco|5
Enschedé, Johannes (I)|5
Liss, Johann|5
Schmidt, Christoph|5
Vos, Jacob Willemz. de|5
Oortman, Joachim Jan (Jr.)|5
Bartsch, Adam von|5
Ferrier, Claude-Marie|5
Jonge, Jan Karel Jacob de|5
Merlen, Abraham van|5
Lagoor, Johan de|5
Royen, Willem Hendrik Wilhelmus van|5
Pietersz., Aert|5
Kitzen, Jan|5
Bruné, Pieter Adolf|5
Christ, Johannes Franciscus|5
Schouman, Martinus|5
Sukenobu, Nishikawa|5
Kempen & Zoon, J.M. van|5
Kiyomitsu, Torii (I)|5
Luti, Benedetto|5
Oever, Hendrick ten|5
Choki, Momokawa|5
Benoist, Antoine|5
Shee, Michiel Emanuel|5
Amman, Jost|5
Rietschoof, Hendrik|5
Le Brun, Charles|5
De Dissel|5
Sandrart, Joachim von|5
Groot, Jan de|5
Goltzius, Hubert|5
Immink, B.F.|5
Lonsing, François Joseph|5
Zeuner, Jonas|5
Eversdijck, Willem|5
Alma Tadema, Lawrence|5
Oliver, Peter|5
England, William|5
Greenwood, Frans|5
Swart, Jan|5
Gael, Barent|5
Blocklandt, Anthonie|5
Wagenaar, Pieter (II)|5
Vondel, Joost van den|5
Meester IB met de vogel|5
Donnet, Samuel|5
Custos, Raphael|5
Heem, Jan Davidsz. de|5
Dieussart, François|5
Laan, Dirk Jan van der|5
Meurs, Cornelis Hubert van|5
Breeckevelt, Ludolph|5
Putter, Coenraad de|5
Lesage, Pieter|5
Stapele, Martinus van|5
Dijck, Jacobus van|5
Beck, Leonhard|5
Teissier, Jean George|5
Boze, Joseph|5
Ram, Johannes de|5
Sanders, Gerard|5
Hanfstaengl, Franz|5
Bruyninx, Daniël|5
Portman, Ludwig Gottlieb|5
Ottini, Pasquale|5
Birckenhultz, Paul|5
Rem, Johannes|5
Box, Hans Willem|5
Hove, Hubertus van|5
Saleh, Raden Sarief Bastaman|5
La Pegna, Hyacinth de|5
Soetermeer, Cornelis|5
Debucourt, Philibert-Louis|5
Pourbus, Frans (II)|5
Pazzi, Pietro Antonio|5
Herreyns, Jacob (I)|5
Keen, Pieter de|5
Jansz, Broer (Amsterdam)|5
Cuyck, Pieter van (Sr.)|5
De Paeuw|5
Versteegh, Dirk|5
Gardijn, Guilliam du|5
Löwenstam, Leopold|5
Temminck, Leonardus|5
Verkolje, Jan (II)|5
Glavimans, Cornelis Jan|5
Berwinckel, Joan|5
Duvivier, Guillaume (17e eeuw)|5
Bartolommeo (Fra)|5
Furnerius, Abraham|5
Leyniers, Urbanus|5
Wilkens, Theodoor|5
Königliche Porzellan Manufaktur|5
Coppens, Fransçois|5
Roosing, Pieter|5
Augustini, Jan|5
Toyokuni (I), Utagawa|5
Ouder-Amstel|5
Tielenburg, Gerrit|5
Wouters, Augustinus Jacobus Bernardus|5
Cock, Jan Claudius de|5
Swidde, Willem|5
Leupenius, Johannes|5
Overbeek, M. van|5
Hoevenaar, Willem Pieter|5
Poel, Egbert Lievensz. van der|5
Crayer, Gaspar de|5
Delin, Nicolas Joseph|5
Abrahams, Daniël|5
Monogrammist GG|5
Hagenbeek, Karel|5
Schellinger, Cornelis|5
Kleman & Zoon, J.M.|5
Burghers, Michael|5
Ditmaer, Jan|5
Stella, Jacques|5
Wegely|5
Monogrammist MT|5
Perroneau, Jean Baptiste|5
Verboom, Adriaen Hendriksz.|5
Schweickhardt, Hendrik Willem|5
Bellekin, Cornelis|5
Pian, Antonio de|5
Loemans, Arnold|5
Lasinio, Carlo|5
Putte, erven Hendrik van der|5
Hoeye, Rombout van den|5
Scotin, Gérard Jean Baptiste (I)|5
Pola, Hendrik|5
Arentsz., Arent|5
Francken, Frans (I)|5
Troost, Sara|5
Rode, Christian Bernhard|5
Kinschot, Gaspard Louis François van|5
Fox Talbot, William Henry|5
Ouwater, Isaac|5
Marchi, S|5
Vliet, Jan Gillisz. van|5
Kerkhof, Paulus|5
Valentijn|5
Lorenzo Monaco|5
Barendsz., Dirck|5
Schmeltzing, Jan (I)|5
Coorte, Adriaen|5
Teerlink, Abraham|5
Furne Fils & H. Tournier & Drier|5
Monogrammist MHF (16e eeuw)|5
Toutin, Jean|5
Cooper, Samuel|5
Sallembier, Henri|5
Francken, Frans (II)|5
Perrier, François|5
Bemmel, Willem von|5
Frith & Co.|5
Delahaye, Frans|5
Ratelband, weduwe Jeronimus|5
Giovanni Antonio da Brescia|5
Altena, Maas van|5
Scheltus, Jacobus (I)|5
Toorenvliet, Jacob|5
Jouderville, Isaac de|5
Gaywood, Robert|5
Cantarini, Simone|5
Cock, Maerten de|5
Rottenhammer, Hans (I)|5
Dubois, Simon|5
Starter, Jan Jansz|5
Dietz, Barentie Willem|5
Wet, Jacob de (I)|5
Shunman|5
Visser, Jan Gerritsz.|5
Meester IAM van Zwolle|5
Bretherton, James|5
Aa, Dirk van der|5
Meester van Haarlem|5
Le Masurier, S.|5
Ostendorfer, Michael|5
Baarsel, Cornelis van|5
Berg, Joannes van de|5
Reimer, Carel Frederik|5
Lux, Ignatius|5
Maes, Pieter|5
Orley, Bernard van|5
Kaldenbach, Johan Antonie|5
Sèvres, Manufacture de|5
Petitot, Jean (le vieux)|5
Melin, Matthias|5
Buysen, J. van|5
Bellini, Giovanni|5
Bennewitz en Bonebakker, Fa.|5
Nadar|5
Leijerdorp, Andries|5
Ploem, Guillaume Louis|5
Preti, Mattia|5
Baer, J.|5
Peeters, Jacob|5
Holtzhey, Johan George|5
Franco, Giovanni Battista|5
Carré, Hendrik (II)|5
Diricks van Campen, Jan|5
Wedgwood|5
Brun, Frans|5
Bedaff, Antonis Aloisius Emanuel van|4
Tetrode, Willem Danielsz. van|4
Cleve, Joos van|4
Smit, Johannes (uitgever)|4
Bik, Jannes Theodorus|4
Patas, Charles Emmanuel|4
Trautmann, Johann Georg|4
Krupp|4
Dickhof, A.|4
Claesz., Pieter|4
Croix, Pieter Frederik de la|4
Coenraads, Jacobus (Senior)|4
Xavery, Gerardus Josephus|4
Saint, Jean|4
Roëttiers, Jean|4
Camphuysen, Govert Dircksz.|4
Bonebakker en Zoon, Fa. As.|4
Jolle, David le|4
Jouvenel, Is.|4
Schwarz, Christoph|4
Campagnola, Giulio|4
Wijk, Jan van (?-1729)|4
Morghen, Raffaelle|4
Potter, Pieter Symonsz.|4
Kate, Lambert ten|4
Stapele, François van|4
Maris, Willem|4
Zhengxing (bijnaam Wuzhai)|4
Junius, Isaac|4
Hazard, James|4
Borch, Jan ter|4
Toyonobu, Ishikawa|4
Roghman, Hendrick Lambertsz.|4
Troost van Groenendoelen, Jan Hendrik|4
Hogarth, William|4
Congreve, William|4
Lens, Andries|4
Clerck, Hendrik de|4
Aa, Hillebrand van der|4
Cook, Thomas|4
Bickham, George (Jr.)|4
Schijnvoet, Jacobus|4
Palthe, Jan|4
Ladame, Gabriel|4
Bonnecroy, Jean Baptiste|4
Bry, Johann Theodor en Johann Israel de|4
Chimenti, Jacopo|4
Rossen, Hendrik R. van|4
Kamphuysen, Gerrit|4
Gerobulus, Roelant|4
Mussard, Robert|4
Wonder, Pieter Christoffel|4
Broeck, Abraham van den|4
Janssens van Ceulen, Cornelis (I)|4
Schutter, Theodorus Cornelis|4
Shigeharu, Ryusai|4
Avril, Jean Jacques (l'Aîné)|4
Engebrechtsz., Cornelis|4
Apeus, Cornelis|4
Nachtegaal, Clemens Arnold|4
Hals, Dirck|4
Vliet, Hendrick Cornelisz. van|4
Meyster, Everard|4
Tibaldi, Pellegrino|4
Simonet, Jean Baptiste Blaise|4
Schaasberg, Simon|4
Jagen, Cornelis van|4
Delisle, Guillaume|4
Slegers, weduwe|4
Ertel, Johan George|4
Henstenburgh, Herman|4
Verbeeck, Pieter Cornelisz.|4
Gillray, James|4
Stevens, P.|4
Huybrechts, Gaspar|4
Kruimel, C.J.|4
Velde, A. van de|4
Horrix, Matthijs|4
Eeckhout, Jacob Joseph|4
Muyckens, Jan Barentsz.|4
Denner, Balthasar|4
Kempen, B. van|4
Le Secq, Henri|4
Speckaert, Hans|4
Mij, Hieronymus van der|4
Thopas, Jan|4
Thomassin, Simon Henri|4
Chatelain, Zacharias (II)|4
Meester van de Virgo inter Virgines|4
Borcht, Anton van der|4
Wael, Cornelis de|4
Amerom, Hendrik Jan van|4
